1, HObrera, HEMBRA, Omnivoro X, MUERTA, NO
2, HObrera, HEMBRA, Omnivoro XY, MUERTA, NO
3, HObrera, HEMBRA, Omnivoro XY, MUERTA, NO
4, HObrera, HEMBRA, Herbivoro X, MUERTA, NO
5, HObrera, HEMBRA, Nectarivoro X, MUERTA, NO
6, HLarva, ASEXUAL,   , VIVA, NO
7, HObrera, HEMBRA, Nectarivoro X, MUERTA, NO
8, HObrera, HEMBRA, Nectarivoro X, MUERTA, NO
9, HLarva, HEMBRA, Insectivoro X, MUERTA, NO
10, HObrera, HEMBRA, Herbivoro X, MUERTA, NO
11, HObrera, HEMBRA, Insectivoro XX, MUERTA, NO
12, HLarva, ASEXUAL, Nectarivoro XY, VIVA, NO

